tic,sic
NEM,1040
NETL.1,3674
NEU,2860
NFG,4924
NFLX,7841
NFP,6411
NFX,1311
NG,1040
NG.,1040
NHP,6798
NI,4932
NIHDQ,4812
NILE.,5944
NKE,3021
NKTR,2834
NLC,2890
NLY,6798
NLY.PA,6798
NNN,6798
NNN.PC,6798
NOC,3812
NOK,3663
NOKBF,3663
NOV,3533
NOVL,7370
NRG,4911
NRTLQ,9995
NSC,4011
NSM.2,3674
NSR.3,4899
NST,4911
NTAP,3572
NTES,7372
NTGR,3661
NTR,2870
NTR.,2870
NTRI,5961
NTRS,6020
NTTYY,4813
NUAN,7372
NUE,3312
NUVA,3841
NVDA,3674
NVE,4911
NVLS.1,3559
NVO,2834
NVR,1531
NVRI,3390
NVS,2834
NVSEF,2834
NWL,3630
NXGN,7372
NXY,1311
NXY.,1311
NXY.PB,1311
NYCB,6036
NYT,2711
NYTAB,2711
O,6798
O.PD,6798
O.PE,6798
OA,3480
OCR,5912
ODFL,4213
ODP,5940
OFC.PG,6798
OFC.PH,6798
OFC.PJ,6798
OGE,4931
OHI,6798
OHI.PD,6798
OI,3221
OIHYL,6722
OII,1389
OIS,3533
OKE,4923
OLN,2810
OMC,7311
OMG,3341
OMI,5047
OMX,5110
ON,3674
ONXX,2834
ORAN,4813
ORB,3760
ORCL,7372
ORI,6331
ORLY,5531
OSGIQ,4412
OSK,3711
OTEX,7370
OTEX.,7370
OUBSF,6282
OUTR,3578
OVTI,3674
OVV,1311
OVV.,1311
OXPS,6211
OXY,1311
PAA,5171
PAAS,1040
PAAS.,1040
PAG,5500
PARA,4833
PARAA,4833
PAY.4,3578
PAYX,8721
PB,6020
PBCT,6020
PBI,4210
PBOWN,4210
PBR,2911
PBR.A,2911
PCAR,3711
PCCYF,2911
PCG,4931
PCH,6798
PCL,2400
PCP,3728
PD.,1381
PDCO,5047
PDE,1381
PDLI,2836
PDS,1381
PE.PA,4911
PE.PB,4911
PE.PC,4911
PE.PD,4911
PEG,4931
PENN,7990
PEP,2080
PETM,5990
PFCB,5812
PFE,2834
PFG,6282
PFG.PB,6282
PG,2840
PGN.1,4911
PGR,6331
PH,3490
PHG,3845
PHH,6162
PHI,4812
PHM,1531
PII,3790
PIPR,6211
PIRRQ,5700
PKG,2650
PKX,3312
PL.,6311
PL.PD,6311
PLCE,5600
PLCM,3661
PLD,6798
PLD.PF,6798
PLD.PG,6798
PLDGP,6798
PLL.1,3569
PLXS,3672
PMCS,3674
PNC,6020
PNC.PC,6020
PNC.PD,6020
PNC.PL,6020
PNK,7990
PNM,4911
PNR,3561
PNRA,5812
PNW,4911
POLY,3661
POM,4911
POOL,5090
PPC,2015
PPDI,8731
PPG,2851
PPHYL,6726
PPL,4911
PPMIQ,6351
PPS,6798
PPS.PA,6798
PPS.PB,6798
PRDO,8200
PRE.1,6331
PRE.PC,6331
PRE.PD,6331
PRETQ,6798
PRGO,2834
PRU,6311
PRX,2834
PRXL,8731
PSA,6798
PSA.A,6798
PSA.PA.1,6798
PSA.PB.1,6798
PSA.PC.1,6798
PSA.PD.1,6798
PSA.PE.1,6798
PSA.PF.2,6798
PSA.PG.1,6798
PSA.PH.2,6798
PSA.PI.2,6798
PSA.PK.2,6798
PSA.PL.,6798
PSA.PM.,6798
PSA.PN.,6798
PSA.PV.1,6798
PSA.PW.1,6798
PSA.PX.1,6798
PSA.PZ.1,6798
PSS,5661
PSSI,5047
PSUNQ,5651
PTC,7372
PTEN,1381
PTP,6331
PTRCY,2911
PTRY,5500
PVAHQ,1311
PVE.,1311
PVH,2300
PVX,1311
PWAVQ,3663
PWR,1731
PXD,1311
PXP,1311
Q.2,4813
QCOM,3674
QGEN,3826
QLGC,3570
QQQ,6722
QRVO,3674
QSFT,7372
R,7510
RADCQ,5912
RAH,2000
RAI,2111
RAIL,3743
RAMP,7370
RBBN,7373
RBN,3533
RBV,4833
RCI,4812
RCI.A,4812
RCI.B,4812
RCL,4400
RDC,1381
RDN,6351
RDS.A,2911
RDS.B,2911
RDUS,5093
REG,6798
REG.PC,6798
REG.PD,6798
REG.PE,6798
REGN,2834
REPYY,2911
RF,6020
RGA,6311
RGA.PA,6311
RGC.1,7830
RGL.,6795
RGLD,6795
RGS,7200
RHI,7363
RHP,6798
RHT,7372
RIG,1381
RIO,1000
RJF,6211
RKHYL,6726
RL,2300
RMBS,6794
RMD,3845
RNR,6331
RNR.PB,6331
RNR.PC,6331
RNR.PD,6331
RNWK,7370
ROC.3,2800
ROK,3620
ROP,7370
ROST,5651
RPM,2890
RRC,1311
RRD,2750
RRGB,5812
RRX,3621
RS,5051
RSG,4953
RSHCQ,5731
RSP,6726
RT,5812
RTHYL,6726
RTI,3490
RTN,3812
RTN.WS,3812
RTNTF,1000
RTPPF,1000
RTX,3724
RVTY,3826
RWR,6722
RWT,6798
RY,6020
RY.,6020
RY.NT.C,6020
RY.PI,6020
RY.PL,6020
RY.PP.,6020
RY.PR.,6020
RY.PR.1,6020
RY.PR.2,6020
RY.PR.A,6020
RY.PR.B,6020
RY.PR.C,6020
RY.PR.D,6020
RY.PR.E,6020
RY.PR.F,6020
RY.PR.G,6020
RY.PR.W,6020
RY.PT.1,6020
RY.PX,6020
RY.PY,6020
RYAAY,4512
RYL,1531
RYLPF,3845
RYN,6798
S.3,4812
SAFM,2015
SAN,6020
SANM,3672
SAP,7372
SAPGF,7372
SBAC,6798
SBS,4941
SBUX,5812
SCCO,1000
SCG,4931
SCHW,6282
SCI,7200
SEE,3081
SEIC,6282
SF,6211
SFD,2013
SFG,6321
SFYWQ,1311
SGI,3571
SGY.1,1311
SHAW,8711
SHLDQ,5311
SHO,6798
SHO.PA,6798
SHPG,2836
SHW,2851
SHY,6722
SIAL,2833
SID,3312
SIEGY,9997
SIGM,3674
SINA,7370
SIRI,4832
SITC,6798
SIVBQ,6020
SJM,2033
SKM,4812
SKS,5311
SKT,6798
SKT.PC,6798
SKX,3140
SKYW,4512
SLAB,3674
SLB,1389
SLF,6311
SLF.,6311
SLF.PR.A,6311
SLF.PR.B,6311
SLF.PR.C,6311
SLF.PR.D,6311
SLF.PR.E,6311
SLF.PR.F,6311
SLG,6798
SLG.PC,6798
SLG.PD,6798
SLGN,3411
SM,1311
SMG,2870
SMHYL,6726
SMTC,3674
SNA,3420
SNDA.,7370
SNDK,3572
SNPS,7372
SNV,6020
SNY,2834
SO,4911
SOHU.1,7372
SON,2650
SONC,5812
SONY,3600
SOXX,6722
SPG,6798
SPG.PI,6798
SPG.PJ,6798
SPGI,7323
SPIL,3674
SPLS,5110
SPNX,1389
SPWR,3690
